"","GSM4008561","GSM4008562","GSM4008563","GSM4008564","GSM4008565","GSM4008566","GSM4008567","GSM4008568","GSM4008569","GSM4008570","GSM4008571","GSM4008572","GSM4008573","GSM4008574","GSM4008575","GSM4008576","GSM4008577","GSM4008578","GSM4008579","GSM4008580","GSM4008581","GSM4008582","GSM4008583","GSM4008584","GSM4008585","GSM4008586","GSM4008587","GSM4008588","GSM4008590","GSM4008591","GSM4008592","GSM4008593","GSM4008594","GSM4008595","GSM4008596","GSM4008597","GSM4008598","GSM4008599","GSM4008600","GSM4008601","GSM4008602","GSM4008603","GSM4008604","GSM4008605","GSM4008606","GSM4008607","GSM4008608","GSM4008609","GSM4008610","GSM4008611","GSM4008612","GSM4008613","GSM4008614","GSM4008615","GSM4008616","GSM4008617","GSM4008618"
"COX5B",252.846522362615,704.853277217491,244.454989762356,275.774248843049,293.874030400142,312.848957621618,317.624777975925,290.067666325101,280.216494029999,357.033811811093,237.17628579418,306.188478961355,263.987167871676,244.385374947763,348.594548211552,337.584624885593,252.342818341292,295.262858744411,302.086507787336,271.075859668363,292.175606523141,324.89981708232,439.837200939552,329.119047528302,312.704790086606,346.855245196975,352.064141339697,330.879057889898,200.32016181414,389.425345232017,307.509864818411,304.159636815388,278.420044507111,318.47992367934,386.081758379961,301.185163754418,492.447788088977,329.456431793957,344.132532587834,321.426511431633,320.461858855522,297.215704550551,368.212168271263,306.214908108319,278.798039504995,256.939221009892,260.253029919313,316.050674689101,203.831074314797,381.78429153832,386.427007925637,296.732909807371,311.12450469721,296.683858103279,337.422085380918,361.396365694901,355.74000272199
"RPS20",318.964336792656,873.895443326757,149.880959780462,364.077090531738,283.951296898114,303.339349582056,288.273812579184,263.854649409015,396.273661974814,306.43911202976,126.567661792615,583.829378244514,372.671353912284,476.368207322902,435.854538921834,286.92952783426,105.926354521893,176.051466198856,406.071749807635,295.685793575859,273.341114431036,268.719116023887,277.590961222658,473.07668419242,156.047543604226,132.943887815106,357.093801766845,336.12370004742,194.559277906316,452.649249135487,136.123729967028,316.09031751387,353.927201570786,327.985624971661,284.462241372969,431.534404452563,424.692822167329,331.673404367813,252.872492795921,252.835444572722,308.370042722399,230.148578856824,144.126376303321,219.07066086542,262.24950788467,163.74499308621,206.946425538574,337.722175738902,207.510427546742,431.33591943049,261.228633046456,363.182925024349,153.577160202447,356.346282632223,283.202350206542,479.189137864944,339.009323101962
"MT-TP",443.486219616466,191.244586135372,306.755390724023,577.893792875927,191.244586135372,663.158936253532,649.10638391977,191.244586135372,467.666710626655,738.483279945297,191.244586135372,356.586756843245,191.244586135372,191.244586135372,327.726508991634,262.503824561499,309.508956774632,607.343126556844,632.469695446657,375.192664622673,191.244586135372,392.074924469383,191.244586135372,191.244586135372,238.151390011815,264.899988044615,406.968455970529,424.821974188761,239.530430881577,280.218891126002,191.244586135372,332.757516958585,191.244586135372,253.140635171035,273.547911257728,255.898919011322,356.95974011641,191.244586135372,191.244586135372,191.244586135372,191.244586135372,191.244586135372,255.398586995076,370.452504915807,191.244586135372,236.388319799077,219.041436614626,381.754187981012,234.579960068552,191.244586135372,220.250277063972,191.244586135372,191.244586135372,191.244586135372,191.244586135372,254.93810672297,267.417291988008
"RPS13",263.976193109952,701.221346544815,332.391959461371,346.032367316999,348.485047358469,389.728376217263,186.000887620696,303.050199540261,286.725549429576,486.180430742293,294.081879532453,360.70021951471,358.992357925033,307.873419347316,307.831251625328,331.480958299026,204.722489964383,338.316748560744,267.513632035433,251.369555715389,357.620137696587,380.296100788673,306.401615982896,267.037756099379,240.856309708917,233.07242778972,375.139048912833,360.314640080839,219.273093607047,347.145613750738,271.515955045075,359.128930684085,272.52986171669,332.628310695934,307.497810235621,367.282263716087,374.595252458602,444.839619448134,392.975667079085,355.651006272055,342.019150125234,271.498998932687,369.746572864665,314.479017974504,256.603739489441,226.312032185237,325.155687920834,321.361375901254,361.425981153506,404.068600778247,279.93510355906,236.821810114331,169.57558160772,266.53070429323,350.594659933963,329.67942659727,416.810075292028
"RPL12",377.860359750992,645.3980097048,373.481852864747,423.241987420504,583.908585335644,322.094546117258,338.607306247548,376.035692910987,273.313812727748,385.346185682038,148.691609436468,350.683093467468,452.39123777233,337.949297856582,229.750939806409,125.59536355553,229.368780916699,256.645894682919,328.087593273352,346.130221267441,296.728925211873,390.218603792034,226.840628219547,424.001543683953,158.193020317014,231.374988248365,340.344417873349,310.456697365134,391.200692465735,405.607787321645,299.187176179802,410.890966321098,483.163580229533,309.63938516543,150.291380090907,349.826426053951,354.114429109994,424.351052330066,364.530424675672,120.597329946068,398.627921818384,335.808227961889,292.53291409245,294.567966488321,123.996759398205,102.800685306024,300.098683817499,353.107560598608,337.827180787041,411.238078287972,127.773214728185,383.806179164527,337.135063765731,264.971739704255,346.970175611303,336.325493540501,326.118620444642
"RPL11",112.772521844073,989.325297302571,374.33893727805,289.496303006701,277.894029688439,188.98612258683,437.756615364151,201.176081710207,172.168828628809,271.257307883796,205.546273396479,415.853805903943,561.979227139771,389.08492736875,261.031229434481,441.624794816585,22.7657734667669,220.797013007579,353.394847132045,440.552980966195,610.163118426278,306.910557186449,274.555152254885,145.26710861475,262.803486931179,360.300990520632,280.18511230529,124.799275721987,319.600923776622,338.588938450664,205.930923375784,417.819221382451,112.529052010525,153.286833523448,253.673180148668,288.130781806283,343.656237441956,339.84523929364,314.411658117457,381.601509483842,242.226035768711,451.511725209869,250.254436039293,287.810051403609,193.548742020317,155.333851624686,242.985326703452,506.993213726714,268.919184166563,468.874806123419,154.795874243921,176.139092253908,179.895781937197,350.281887665806,342.314534132762,338.690690300999,286.677584355283
"NDUFB9",278.224904226297,706.608162152773,290.112057111912,318.394724195957,332.783250571193,356.198343088204,310.705448160057,265.184338882009,343.149531627562,368.875225403366,277.483721027895,380.567068559384,368.708445086856,335.548091968698,299.3418169242,368.629189028712,288.444399700347,306.72413455461,340.856361902001,291.54578746984,271.321696114611,349.301626161485,406.354270324658,379.493830847769,245.797940173354,254.648852700411,315.105867942306,266.196336555087,270.377858092078,414.51189367422,239.491129003943,328.467479727681,289.028194115219,336.899219826333,392.562635570343,280.529912377425,357.279622272328,281.835548939005,325.327518801884,268.198900243369,293.556797501546,304.223029015923,318.160192044333,323.773354805328,271.031135717325,255.022106877978,362.287265981259,337.340250867398,235.211683178963,292.79065658766,319.198562272712,295.646570385007,226.484304865617,246.545390773526,273.922837159079,348.414668821924,337.476387608513
"SLC25A3",277.908512515319,617.38654887202,251.747016952604,279.015835358788,312.554072692376,363.79459262001,324.183452306038,268.485422578227,242.867507525892,394.749247994101,341.909669778106,330.739331095882,282.583293599546,277.4216956437,301.159725632024,372.193268894608,292.120261446872,324.179247363077,431.829634422152,368.971702319866,322.810720811112,314.354094752322,392.241513101755,351.534882252833,307.0550327007,330.878653282903,350.636017182425,329.131297669866,284.698184720693,421.985856766833,272.302104723589,267.779893030642,296.703320722341,296.482356754713,412.484089971108,318.769450021391,389.136923606509,381.324401012962,373.884399624442,282.311064832661,336.115087035223,346.236402407677,374.671086072634,334.22495943319,239.926309342973,264.777955016312,344.919922292129,340.239804878271,265.053188449434,350.55235374367,344.865854197565,292.480734841158,298.518598396607,219.450733943338,265.647171750178,321.022962064129,324.366411926758
"PFKM",304.763716230972,223.866706268696,213.698685741984,394.324711145955,332.285099810138,302.866520569558,282.34911037132,320.277135453531,339.679332342759,366.365737168051,343.096755036798,358.744045561568,308.948642855739,342.368154790801,413.354194836442,298.795682024339,317.256050838277,274.73592962493,567.107777973005,285.369835538547,500.037704170387,276.725385725984,385.905951234848,334.423817383601,384.465107891625,308.429927662922,257.097056189494,340.328356046886,413.79833497581,415.071734389987,252.409688222901,400.727905629146,263.168264655721,314.092888278698,251.572774606471,253.483426480938,304.631612290346,305.441392560471,418.092017716817,329.108370577406,282.050309465434,229.983532945021,371.723320880402,350.029385680291,326.977224047783,297.211516702559,422.672674889824,385.671032482656,461.590466824914,306.838136972663,274.288391479401,266.699056533252,281.58298719183,409.94105564018,309.426160958652,239.641375395918,218.730528960023
"LDHA",193.957848482988,250.429553938829,157.397749772863,353.192484527156,145.58996533281,82.8260641337666,223.263973027568,404.853972739046,405.706163503795,401.195509593191,325.185782322748,337.904159031657,225.402054985753,493.49043342084,481.677861370344,544.193181779787,479.817188225601,125.798286392877,401.24128061769,464.228093315017,412.887746618426,222.861204590035,171.067090222842,369.359247529295,116.328745636869,378.069870808653,331.180044723146,509.149881616006,289.391884309808,176.964581809362,114.188541909427,317.649102708968,122.69365509123,54.5929278713117,328.738647115506,451.108306679464,348.081855019632,391.952377861246,372.442589374277,262.857110294373,172.097728791673,283.091182575008,338.351781137237,577.018640598387,416.06154292486,223.291272865738,383.716370554717,628.229993848971,662.189058239581,357.841401133733,182.099557144894,322.583678217631,176.454992803982,612.291609211003,321.28902679858,474.230719417875,304.715454873822
"SNORD3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
